Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Dennis Mitchell, 0.090, 9.91, 1.710, 1.07, 0.93, 0.88, 0.87, 0.87, 0.86, 0.86, 0.88, 0.89
Leroy Burrell, 0.120, 9.88, 1.710, 1.06, 0.91, 0.88, 0.87, 0.86, 0.87, 0.84, 0.89, 0.87
Carl Lewis, 0.140, 9.86, 1.740, 1.08, 0.92, 0.89, 0.84, 0.85, 0.84, 0.83, 0.87, 0.86
Wenzhong Chen, , 10.38, 1.86, 1.06, 0.96, 0.92, 0.90, 0.92, 0.93, 0.93, 0.93, 0.97
Dennis Mitchell, 0.145, 9.99, 1.695, 1.03, 0.94, 0.89, 0.87, 0.87, 0.87, 0.87, 0.88, 0.93
Ato Boldon, 0.164, 9.90, 1.726, 1.02, 0.92, 0.88, 0.85, 0.84, 0.85, 0.87, 0.88, 0.90
Frank Fredericks, 0.143, 9.89, 1.697, 1.03, 0.93, 0.89, 0.86, 0.86, 0.86, 0.86, 0.87, 0.89
Donovan Bailey, 0.174, 9.84, 1.726, 1.03, 0.91, 0.87, 0.84, 0.84, 0.85, 0.85, 0.86, 0.89
Donovan Bailey, , 9.94, 1.92, 1.02, 0.91, 0.87, 0.86, 0.85, 0.88, 0.87, 0.88, 0.88
Davidson Ezinwa, 0.135, 9.96, 1.635, 1.05, 0.94, 0.89, 0.87, 0.87, 0.87, 0.88, 0.89, 0.93
Ato Boldon, 0.123, 9.90, 1.597, 1.05, 0.93, 0.89, 0.87, 0.87, 0.87, 0.88, 0.90, 0.92
Frank Fredericks, 0.129, 9.82, 1.601, 1.04, 0.93, 0.89, 0.87, 0.86, 0.86, 0.87, 0.88, 0.89
Tim Montgomery, 0.134, 9.80, 1.596, 1.03, 0.93, 0.88, 0.86, 0.86, 0.86, 0.87, 0.88, 0.90
Donovan Bailey, 0.145, 9.76, 1.625, 1.03, 0.91, 0.87, 0.85, 0.85, 0.85, 0.86, 0.87, 0.90
Maurice Greene, 0.134, 9.73, 1.576, 1.04, 0.92, 0.88, 0.87, 0.85, 0.85, 0.86, 0.87, 0.88
Maurice Greene, 0.162, 9.79, 1.698, 1.03, 0.92, 0.88, 0.88, 0.83, 0.83, 0.86, 0.85, 0.85
