Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Yanan Xing, , 10.49, 1.97, 1.05, 0.96, 0.92, 0.91, 0.91, 0.92, 0.93, 0.95, 0.97
Nobuharu Asahara, , 10.83, 1.95, 1.09, 0.99, 0.95, 0.94, 0.93, 0.95, 0.95, 1.00, 1.08
Kazuki Ishikura, , 10.78, 1.91, 1.09, 1.01, 0.95, 0.95, 0.94, 0.95, 0.96, 0.99, 1.03
Naoki Tsukahara, , 10.71, 1.92, 1.09, 1.00, 0.95, 0.93, 0.94, 0.94, 0.95, 0.98, 1.01
Masahide Ueno, , 10.55, 1.99, 1.04, 0.94, 0.93, 0.91, 0.92, 0.92, 0.94, 0.96, 1.00
Shingo Suetsugu, , 10.55, 1.95, 1.08, 0.97, 0.93, 0.91, 0.91, 0.92, 0.93, 0.96, 0.99
Devon Smith, , 10.68, 1.97, 1.08, 0.97, 0.93, 0.92, 0.93, 0.94, 0.97, 0.98, 0.99
Curtis Mitchell, , 10.54, 2.04, 1.06, 1.03, 0.92, 0.88, 0.91, 0.91, 0.90, 0.91, 0.98
Justin Murdock, , 10.45, 1.97, 1.08, 0.92, 0.94, 0.89, 0.90, 0.92, 0.92, 0.96, 0.95
Dante Sales, , 10.44, 1.93, 1.07, 0.98, 0.92, 0.89, 0.90, 0.92, 0.90, 0.97, 0.96
Ryan Bailey, , 10.34, 2.00, 1.09, 0.96, 0.90, 0.90, 0.89, 0.88, 0.92, 0.89, 0.91
Antonio Sales, , 10.33, 2.04, 1.05, 0.95, 0.94, 0.89, 0.87, 0.89, 0.87, 0.91, 0.92
Terrell Wilks, , 10.19, 1.97, 1.05, 0.96, 0.89, 0.88, 0.85, 0.89, 0.88, 0.91, 0.91
Shigeyuki Kojima, , 10.52, 1.94, 1.07, 0.97, 0.93, 0.92, 0.91, 0.92, 0.94, 0.95, 0.97
Shintaro Kimura, , 10.48, 1.92, 1.04, 0.96, 0.93, 0.92, 0.91, 0.93, 0.93, 0.96, 0.98
Nobuharu Asahara, , 10.37, 1.93, 1.05, 0.96, 0.91, 0.91, 0.89, 0.91, 0.91, 0.94, 0.96
Naoki Tsukahara, , 10.31, 1.95, 1.05, 0.96, 0.92, 0.90, 0.90, 0.89, 0.91, 0.91, 0.92
Demi Omole, , 10.49, 1.98, 1.06, 0.91, 0.98, 0.89, 0.90, 0.88, 0.92, 1.00, 0.97
Jeff Laynes, , 10.37, 1.96, 1.09, 0.89, 0.94, 0.89, 0.92, 0.85, 0.91, 0.98, 0.94
Shawn Crawford, , 10.17, 2.03, 0.92, 1.03, 0.90, 0.89, 0.86, 0.86, 0.87, 0.91, 0.90
Michael Rodgers, , 10.15, 2.01, 0.99, 0.94, 0.91, 0.85, 0.89, 0.86, 0.88, 0.94, 0.88
Trindon Holiday, , 10.14, 1.91, 1.07, 0.90, 0.93, 0.86, 0.85, 0.87, 0.91, 0.91, 0.93
Kendall Stevens, , 10.13, 1.93, 1.05, 0.92, 0.90, 0.87, 0.90, 0.90, 0.87, 0.93, 0.86
Ivory Williams, , 10.07, 1.95, 1.12, 0.83, 0.90, 0.89, 0.85, 0.86, 0.91, 0.85, 0.91
Walter Dix, , 9.96, 1.95, 1.07, 0.87, 0.90, 0.87, 0.85, 0.83, 0.83, 0.89, 0.90
Evander Wells, , 10.28, 1.93, 1.05, 0.97, 0.92, 0.88, 0.89, 0.83, 0.95, 0.90, 0.96
Jeremy Hall, , 10.26, 1.98, 0.99, 1.00, 0.90, 0.88, 0.89, 0.83, 0.94, 0.91, 0.94
Mickey Grimes, , 10.26, 1.94, 1.06, 0.95, 0.88, 0.89, 0.90, 0.90, 0.90, 0.87, 0.97
Rubin Williams, , 10.18, 1.95, 1.03, 0.94, 0.86, 0.90, 0.89, 0.85, 0.92, 0.92, 0.92
Leroy Dixon, , 10.16, 1.91, 1.04, 0.92, 0.95, 0.83, 0.87, 0.85, 0.90, 0.93, 0.96
Jeff Demps, , 10.12, 1.95, 1.07, 0.96, 0.89, 0.89, 0.86, 0.83, 0.89, 0.90, 0.88
Travis Padgett, , 10.06, 1.91, 1.07, 0.90, 0.92, 0.85, 0.86, 0.89, 0.86, 0.88, 0.92
Jason Heard, , 10.32, 1.96, 1.07, 0.97, 0.88, 0.93, 0.86, 0.90, 0.89, 0.92, 0.94
Teddy Williams, , 10.27, 1.97, 1.00, 0.95, 0.88, 0.90, 0.94, 0.90, 0.88, 0.92, 0.93
J-Mee Samuels, , 10.17, 1.90, 1.10, 0.90, 0.93, 0.85, 0.88, 0.88, 0.92, 0.88, 0.93
Mardy Scales, , 10.16, 1.86, 1.04, 0.93, 0.92, 0.87, 0.86, 0.88, 0.93, 0.93, 0.94
John Capel, , 10.16, 1.98, 1.05, 0.92, 0.92, 0.87, 0.85, 0.88, 0.92, 0.87, 0.90
Wallace Spearmon, , 10.12, 2.03, 1.05, 0.95, 0.93, 0.86, 0.82, 0.86, 0.89, 0.85, 0.88
Darvis Patton, , 10.04, 1.97, 1.06, 0.92, 0.88, 0.87, 0.84, 0.85, 0.87, 0.89, 0.89
Carlos Moore, , 10.33, 2.00, 1.00, 0.97, 0.95, 0.86, 0.88, 0.86, 0.91, 0.91, 0.99
Preston Perry, , 10.28, 1.96, 1.02, 0.99, 0.90, 0.89, 0.86, 0.87, 0.92, 0.92, 0.95
Chrisdon Hargrett, , 10.19, 1.98, 1.02, 0.97, 0.87, 0.85, 0.91, 0.86, 0.86, 0.93, 0.94
Xavier Carter, , 10.14, 2.00, 1.05, 0.94, 0.87, 0.86, 0.88, 0.86, 0.85, 0.88, 0.95
Tyson Gay, , 10.14, 1.96, 1.03, 0.89, 0.91, 0.84, 0.84, 0.84, 0.89, 0.94, 1.00
Mark Jelks, , 10.13, 1.94, 1.04, 0.91, 0.91, 0.89, 0.83, 0.89, 0.90, 0.90, 0.92
Monzavous Edwards, , 10.13, 1.96, 1.06, 0.92, 0.90, 0.87, 0.88, 0.83, 0.89, 0.90, 0.92
Rodney Martin, , 10.10, 2.00, 1.02, 0.98, 0.89, 0.87, 0.83, 0.84, 0.85, 0.93, 0.89
Teddy Williams, , 10.24, 1.82, 1.20, 0.88, 0.92, 0.90, 0.88, 0.88, 0.91, 0.91, 0.94
J-Mee Samuels, , 10.09, 1.85, 1.15, 0.92, 0.88, 0.87, 0.89, 0.88, 0.85, 0.90, 0.90
Wallace Spearmon, , 10.07, 1.93, 1.14, 0.95, 0.91, 0.86, 0.87, 0.85, 0.81, 0.87, 0.88
Michael Rodgers, , 10.07, 1.88, 1.10, 0.94, 0.90, 0.85, 0.84, 0.86, 0.90, 0.87, 0.93
Leroy Dixon, , 10.02, 1.85, 1.15, 0.87, 0.90, 0.86, 0.86, 0.88, 0.86, 0.88, 0.91
Walter Dix, , 10.02, 1.83, 1.15, 0.95, 0.92, 0.85, 0.85, 0.84, 0.87, 0.84, 0.92
Jeff Demps, , 10.01, 1.78, 1.17, 0.93, 0.92, 0.86, 0.85, 0.84, 0.90, 0.87, 0.89
Tyson Gay, , 9.77, 1.90, 1.02, 0.93, 0.89, 0.82, 0.83, 0.83, 0.83, 0.84, 0.88
Rubin Williams, , 10.26, 1.86, 1.12, 0.97, 0.89, 0.87, 0.88, 0.90, 0.89, 0.91, 0.97
Mickey Grimes, , 10.22, 1.88, 1.10, 0.99, 0.88, 0.89, 0.87, 0.88, 0.85, 0.91, 0.97
Mardy Scales, , 10.15, 1.84, 1.10, 0.95, 0.88, 0.87, 0.87, 0.88, 0.88, 0.94, 0.94
Kendall Stevens, , 10.12, 1.87, 1.06, 0.99, 0.90, 0.88, 0.86, 0.86, 0.85, 0.92, 0.93
Chrisdon Hargrett, , 10.12, 1.87, 1.11, 0.92, 0.92, 0.89, 0.88, 0.86, 0.86, 0.88, 0.93
Mark Jelks, , 9.99, 1.83, 1.07, 0.96, 0.88, 0.89, 0.84, 0.88, 0.84, 0.85, 0.95
Rodney Martin, , 9.95, 1.85, 1.07, 1.02, 0.88, 0.85, 0.85, 0.85, 0.84, 0.86, 0.88
Travis Padgett, , 9.89, 1.83, 1.07, 0.96, 0.89, 0.85, 0.84, 0.88, 0.82, 0.87, 0.88
Jeremy Hall, , 10.26, 1.98, 1.09, 0.90, 0.92, 0.88, 0.90, 0.89, 0.88, 0.88, 0.94
Shawn Crawford, , 10.09, 1.88, 1.09, 0.93, 0.92, 0.85, 0.90, 0.85, 0.87, 0.87, 0.93
Trindon Holiday, , 10.09, 1.82, 1.12, 0.95, 0.90, 0.86, 0.86, 0.89, 0.87, 0.87, 0.95
Monzavous Edwards, , 10.06, 1.87, 1.11, 0.93, 0.89, 0.87, 0.88, 0.87, 0.83, 0.91, 0.90
John Capel, , 10.06, 1.90, 1.10, 0.91, 0.88, 0.88, 0.86, 0.88, 0.84, 0.91, 0.90
Xavier Carter, , 10.00, 1.96, 1.11, 0.87, 0.91, 0.85, 0.87, 0.82, 0.88, 0.79, 0.94
Ivory Williams, , 9.94, 1.86, 1.01, 0.98, 0.87, 0.87, 0.85, 0.87, 0.84, 0.85, 0.94
Darvis Patton, , 9.89, 1.88, 1.10, 0.90, 0.87, 0.85, 0.87, 0.85, 0.83, 0.83, 0.91
Chrisdon Hargrett, , 12.11, 1.97, 1.05, 0.93, 0.91, 0.86, 0.90, 0.85, 1.14, 1.37, 2.13
Trindon Holiday, , 10.17, 1.95, 1.03, 0.94, 0.90, 0.85, 0.89, 0.86, 0.93, 0.86, 0.96
Monzavous Edwards, , 10.16, 1.97, 1.04, 0.94, 0.89, 0.87, 0.88, 0.87, 0.88, 0.88, 0.94
Ivory Williams, , 10.09, 1.95, 1.04, 0.93, 0.92, 0.80, 0.91, 0.85, 0.92, 0.87, 0.90
Xavier Carter, , 10.09, 2.02, 1.03, 0.95, 0.89, 0.83, 0.87, 0.88, 0.89, 0.83, 0.90
Rodney Martin, , 10.08, 2.02, 1.02, 0.96, 0.87, 0.85, 0.88, 0.86, 0.89, 0.86, 0.87
Walter Dix, , 9.93, 2.00, 1.04, 0.93, 0.89, 0.84, 0.84, 0.83, 0.85, 0.87, 0.84
Tyson Gay, , 9.85, 2.04, 1.00, 0.88, 0.89, 0.80, 0.84, 0.84, 0.83, 0.85, 0.88
Jeff Demps, , 10.34, 1.94, 1.04, 0.96, 0.92, 0.89, 0.87, 0.92, 0.90, 0.93, 0.97
Mark Jelks, , 10.24, 1.95, 1.03, 0.94, 0.93, 0.87, 0.92, 0.86, 0.86, 0.93, 0.95
John Capel, , 10.21, 1.96, 1.06, 0.93, 0.92, 0.85, 0.93, 0.83, 0.88, 0.94, 0.91
Wallace Spearmon, , 10.18, 1.99, 1.12, 0.93, 0.94, 0.84, 0.87, 0.86, 0.86, 0.89, 0.88
Michael Rodgers, , 10.18, 1.98, 1.02, 0.93, 0.90, 0.89, 0.85, 0.90, 0.86, 0.93, 0.92
Leroy Dixon, , 10.17, 1.97, 1.03, 0.93, 0.91, 0.88, 0.87, 0.88, 0.86, 0.92, 0.92
Travis Padgett, , 10.11, 1.95, 1.03, 0.93, 0.94, 0.86, 0.88, 0.85, 0.88, 0.87, 0.92
Darvis Patton, , 10.04, 1.96, 1.02, 0.92, 0.93, 0.84, 0.85, 0.88, 0.86, 0.88, 0.90
Xavier Carter, 0.148, 10.11, 1.832, 1.07, 0.93, 0.90, 0.86, 0.88, 0.84, 0.85, 0.89, 0.91
Michael Rodgers, 0.166, 10.01, 1.794, 1.01, 0.93, 0.88, 0.89, 0.84, 0.88, 0.86, 0.88, 0.88
Leroy Dixon, 0.157, 9.99, 1.773, 1.06, 0.89, 0.89, 0.85, 0.85, 0.87, 0.83, 0.90, 0.92
Rodney Martin, 0.189, 9.97, 1.781, 1.03, 0.95, 0.87, 0.84, 0.87, 0.84, 0.84, 0.86, 0.90
Travis Padgett, 0.153, 9.85, 1.797, 1.00, 0.91, 0.90, 0.82, 0.88, 0.82, 0.83, 0.88, 0.86
Darvis Patton, 0.169, 9.84, 1.801, 1.01, 0.91, 0.88, 0.83, 0.87, 0.82, 0.82, 0.82, 0.91
Walter Dix, 0.142, 9.80, 1.858, 1.02, 0.93, 0.85, 0.86, 0.81, 0.82, 0.82, 0.83, 0.86
Hitoshi Saito, , 10.42, 1.96, 1.05, 0.97, 0.93, 0.90, 0.91, 0.90, 0.92, 0.93, 0.95
Nobuharu Asahara, , 10.40, 1.98, 1.06, 0.97, 0.92, 0.90, 0.90, 0.90, 0.90, 0.92, 0.95
Shinji Takahira, , 10.43, 2.01, 1.06, 0.96, 0.93, 0.90, 0.90, 0.90, 0.90, 0.92, 0.95
Shinji Takahira, , 10.37, 1.98, 1.03, 0.95, 0.92, 0.89, 0.90, 0.90, 0.92, 0.93, 0.95
Nobuharu Asahara, , 10.36, 1.97, 1.06, 0.95, 0.92, 0.90, 0.88, 0.90, 0.91, 0.92, 0.95
Shogo Nomura, , 10.73, 1.99, 1.09, 1.00, 0.96, 0.94, 0.94, 0.94, 0.95, 0.95, 0.97
Hiroyuki Ishihara, , 10.73, 2.00, 1.07, 0.98, 0.93, 0.93, 0.94, 0.95, 0.97, 0.96, 1.00
Takashi Miyazaki, , 10.65, 1.94, 1.06, 0.97, 0.94, 0.93, 0.93, 0.95, 0.97, 0.97, 0.99
Isamu Hayamizu, , 10.62, 2.01, 1.10, 0.99, 0.94, 0.92, 0.93, 0.91, 0.93, 0.94, 0.95
Ryo Motoshio, , 10.49, 1.98, 1.05, 0.96, 0.93, 0.91, 0.91, 0.93, 0.93, 0.93, 0.96
Usain Bolt, 0.165, 9.69, 1.685, 1.02, 0.91, 0.87, 0.85, 0.82, 0.82, 0.82, 0.83, 0.90
Shinji Takahira, , 10.52, 2.01, 1.05, 0.96, 0.92, 0.92, 0.91, 0.91, 0.93, 0.94, 0.97
Shingo Suetsugu, , 10.43, 1.98, 1.06, 0.96, 0.93, 0.90, 0.90, 0.90, 0.92, 0.92, 0.96
Naoki Tsukahara, , 10.39, 1.99, 1.05, 0.95, 0.92, 0.91, 0.90, 0.90, 0.91, 0.92, 0.94
Nobuharu Asahara, , 10.37, 1.97, 1.05, 0.96, 0.91, 0.91, 0.89, 0.90, 0.91, 0.92, 0.95
Shinji Takahira, , 10.28, 1.96, 1.06, 0.95, 0.91, 0.90, 0.88, 0.89, 0.90, 0.90, 0.93
Hitoshi Saito, , 10.35, 1.98, 1.07, 0.97, 0.92, 0.91, 0.89, 0.89, 0.89, 0.90, 0.93
Daisuke Ikeda, , 11.13, 2.02, 1.13, 1.03, 0.99, 0.98, 0.98, 0.98, 1.00, 0.99, 1.03
Keisuke Ushiro, , 11.48, 2.04, 1.14, 1.05, 1.02, 1.00, 1.01, 1.02, 1.04, 1.07, 1.09
Hiromasa Tanaka, , 11.00, 1.95, 1.10, 1.01, 0.97, 0.96, 0.97, 0.97, 1.00, 1.02, 1.05
Yusuke Nii, , 10.34, 1.93, 1.05, 0.96, 0.93, 0.90, 0.90, 0.90, 0.92, 0.92, 0.93
Naoki Tsukahara, , 10.09, 1.92, 1.04, 0.93, 0.90, 0.88, 0.87, 0.88, 0.88, 0.89, 0.90
Shintaro Kimura, , 10.21, 1.89, 1.04, 0.94, 0.91, 0.90, 0.90, 0.89, 0.90, 0.91, 0.93
Shigeyuki Kojima, , 10.31, 1.95, 1.06, 0.96, 0.91, 0.89, 0.89, 0.90, 0.90, 0.91, 0.94
Shogo Arao, , 10.22, 1.91, 1.05, 0.94, 0.91, 0.88, 0.89, 0.89, 0.90, 0.91, 0.94
Masashi Eriguchi, , 10.07, 1.91, 1.03, 0.92, 0.88, 0.87, 0.87, 0.87, 0.89, 0.90, 0.93
Shun Nagasawa, , 10.34, 1.92, 1.07, 0.96, 0.93, 0.89, 0.90, 0.90, 0.91, 0.92, 0.94
Takumi Kuki, , 10.69, 1.95, 1.07, 0.99, 0.95, 0.94, 0.93, 0.94, 0.95, 0.97, 1.00
Takumi Kuki, , 10.50, 1.93, 1.07, 0.97, 0.94, 0.92, 0.92, 0.92, 0.93, 0.94, 0.96
Takumi Kuki, , 10.44, 1.92, 1.06, 0.97, 0.93, 0.92, 0.91, 0.91, 0.93, 0.93, 0.96
Shintaro Kimura, 0.132, 10.47, 1.798, 1.04, 0.95, 0.93, 0.92, 0.92, 0.92, 0.94, 0.94, 0.98
Masashi Eriguchi, 0.131, 10.38, 1.809, 1.03, 0.97, 0.92, 0.90, 0.90, 0.90, 0.91, 0.94, 0.97
Naoki Tsukahara, 0.128, 10.15, 1.772, 1.05, 0.95, 0.90, 0.90, 0.88, 0.88, 0.88, 0.89, 0.92
Asafa Powell, 0.134, 9.84, 1.746, 1.02, 0.93, 0.88, 0.85, 0.84, 0.84, 0.85, 0.86, 0.89
Tyson Gay, 0.144, 9.71, 1.766, 1.02, 0.91, 0.86, 0.84, 0.82, 0.83, 0.83, 0.84, 0.85
Usain Bolt, 0.146, 9.58, 1.734, 1.00, 0.90, 0.86, 0.83, 0.82, 0.81, 0.82, 0.82, 0.84
Tyson Gay, , 10.13, 1.93, 1.06, 0.93, 0.90, 0.87, 0.87, 0.87, 0.87, 0.90, 0.93
Akihiko Nakamura, , 10.93, 1.96, 1.10, 1.02, 0.98, 0.96, 0.96, 0.96, 0.97, 0.99, 1.03
Keisuke Ushiro, , 11.27, 2.02, 1.13, 1.04, 1.01, 0.99, 1.00, 0.99, 1.01, 1.03, 1.05
Naoki Tsukahara, , 10.36, 1.93, 1.06, 0.96, 0.91, 0.91, 0.90, 0.90, 0.91, 0.93, 0.95
Michael Frater, , 10.24, 1.93, 1.07, 0.94, 0.90, 0.89, 0.89, 0.88, 0.90, 0.91, 0.93
Masashi Eriguchi, 0.116, 10.16, 1.794, 1.04, 0.94, 0.89, 0.88, 0.87, 0.88, 0.89, 0.92, 0.94
Hisashi Miyazaki, 0.146, 10.37, 1.794, 1.05, 0.96, 0.92, 0.90, 0.90, 0.91, 0.91, 0.93, 0.95
Akihiko Nakamura, , 10.82, 1.95, 1.10, 1.00, 0.97, 0.96, 0.96, 0.95, 0.97, 0.97, 0.99
Keisuke Ushiro, , 11.45, 2.04, 1.13, 1.04, 1.02, 1.02, 1.01, 1.01, 1.04, 1.05, 1.09
Christophe Lemaitre, , 10.26, 1.96, 1.06, 0.95, 0.92, 0.89, 0.89, 0.88, 0.90, 0.90, 0.91
Keisuke Ushiro, , 11.37, 2.09, 1.12, 1.03, 1.00, 1.00, 1.01, 1.02, 1.03, 1.02, 1.05
Akihiko Nakamura, , 10.81, 1.96, 1.10, 1.00, 0.96, 0.96, 0.95, 0.95, 0.96, 0.98, 0.99
Keisuke Ushiro, , 11.39, 2.08, 1.14, 1.06, 1.01, 1.01, 0.99, 1.00, 1.02, 1.02, 1.06
Nester Carter, 0.164, 10.25, 1.716, 1.04, 0.94, 0.90, 0.88, 0.89, 0.89, 0.91, 0.94, 0.98
Usain Bolt, 0.153, 10.10, 1.737, 1.04, 0.92, 0.89, 0.86, 0.86, 0.86, 0.88, 0.91, 0.99
Michael Frater, 0.149, 10.27, 1.781, 1.06, 0.94, 0.81, 0.97, 0.88, 0.88, 0.90, 0.93, 0.97
Usain Bolt, 0.164, 10.04, 1.726, 1.04, 0.93, 0.88, 0.86, 0.85, 0.85, 0.86, 0.89, 0.99
Yohan Blake, 0.174, 9.88, 1.696, 1.02, 0.94, 0.87, 0.86, 0.85, 0.86, 0.86, 0.87, 0.88
Akihiko Nakamura, , 10.75, 1.96, 1.09, 0.99, 0.96, 0.95, 0.94, 0.96, 0.95, 0.97, 0.98
Keisuke Ushiro, , 11.41, 2.10, 1.13, 1.04, 1.01, 0.99, 1.00, 1.01, 1.02, 1.04, 1.07
Shintaro Kimura, , 10.29, 1.88, 1.05, 0.94, 0.92, 0.90, 0.91, 0.90, 0.92, 0.92, 0.95
Shinji Takahira, , 10.29, 1.94, 1.05, 0.94, 0.92, 0.90, 0.89, 0.90, 0.90, 0.91, 0.94
Naoki Tsukahara, , 10.25, 1.90, 1.05, 0.95, 0.92, 0.90, 0.90, 0.90, 0.90, 0.91, 0.92
Kazuma Oseto, , 10.23, 1.92, 1.04, 0.94, 0.91, 0.89, 0.90, 0.90, 0.89, 0.91, 0.93
Yusuke Kotani, , 10.21, 1.90, 1.05, 0.95, 0.91, 0.89, 0.89, 0.89, 0.90, 0.90, 0.93
Hitoshi Saito, , 10.36, 1.95, 1.08, 0.98, 0.93, 0.91, 0.90, 0.90, 0.89, 0.90, 0.92
Kenji Fujimitsu, , 10.35, 1.99, 1.06, 0.97, 0.93, 0.91, 0.89, 0.90, 0.89, 0.90, 0.91
Akihiko Nakamura, , 10.81, 2.01, 1.09, 0.98, 0.96, 0.95, 0.95, 0.94, 0.96, 0.97, 1.00
Keisuke Ushiro, , 11.29, 2.06, 1.11, 1.03, 1.00, 0.98, 0.99, 0.99, 1.02, 1.04, 1.07
Takumi Kuki, , 10.23, 1.92, 1.05, 0.93, 0.91, 0.89, 0.88, 0.89, 0.91, 0.91, 0.94
Yohan Blake, 0.179, 9.75, 1.651, 1.03, 0.90, 0.85, 0.86, 0.85, 0.84, 0.85, 0.86, 0.88
Usain Bolt, 0.165, 9.63, 1.745, 1.01, 0.92, 0.86, 0.84, 0.82, 0.81, 0.81, 0.82, 0.83
Keisuke Ushiro, 0.183, 11.32, 1.807, 1.15, 1.05, 1.01, 0.99, 0.99, 1.01, 1.02, 1.04, 1.07
Ryo Motoshio, , 10.31, 1.91, 1.06, 0.95, 0.92, 0.90, 0.90, 0.90, 0.91, 0.92, 0.94
Akihiko Nakamura, , 10.75, 2.00, 1.08, 0.99, 0.95, 0.94, 0.94, 0.94, 0.95, 0.96, 1.00
Keisuke Ushiro, , 11.47, 2.09, 1.15, 1.05, 1.00, 1.01, 1.00, 1.02, 1.03, 1.04, 1.08
Shota Iizuka, , 10.28, 1.92, 1.06, 0.96, 0.90, 0.89, 0.89, 0.89, 0.90, 0.92, 0.95
Kei Takase, , 10.23, 1.92, 1.04, 0.94, 0.90, 0.90, 0.88, 0.89, 0.91, 0.92, 0.93
Yoshihide Kiryu, , 10.01, 1.89, 1.01, 0.91, 0.88, 0.86, 0.86, 0.86, 0.88, 0.91, 0.95
Masashi Eriguchi, , 10.15, 1.89, 1.03, 0.94, 0.89, 0.88, 0.88, 0.87, 0.90, 0.92, 0.95
Ryota Yamagata, , 10.04, 1.88, 1.03, 0.92, 0.89, 0.87, 0.86, 0.87, 0.89, 0.90, 0.93
Yoshihide Kiryu, , 10.03, 1.89, 1.03, 0.92, 0.88, 0.86, 0.86, 0.86, 0.88, 0.91, 0.94
Akihiko Nakamura, , 11.12, 1.99, 1.10, 1.03, 1.01, 0.99, 0.99, 0.99, 0.99, 1.01, 1.02
Keisuke Ushiro, , 11.58, 2.07, 1.14, 1.05, 1.02, 1.02, 1.03, 1.04, 1.05, 1.07, 1.09
Sota Kawatsura, , 10.33, 1.88, 1.07, 0.96, 0.92, 0.91, 0.91, 0.90, 0.92, 0.92, 0.94
Martin Ríčar, 0.144, 10.86, 1.886, 1.07, 1.02, 0.96, 0.95, 0.94, 0.95, 0.95, 0.98, 1.01
Ondrej Benda, 0.174, 10.83, 1.876, 1.10, 1.00, 0.96, 0.95, 0.93, 0.94, 0.94, 0.97, 0.99
Rostislav Šulc, 0.174, 10.76, 1.886, 1.10, 1.00, 0.96, 0.94, 0.92, 0.92, 0.93, 0.95, 0.98
Václav Zich, 0.156, 10.62, 1.834, 1.08, 0.98, 0.95, 0.93, 0.92, 0.92, 0.93, 0.95, 0.97
Marek Bakalár, 0.148, 10.44, 1.822, 1.01, 0.99, 0.90, 0.91, 0.89, 0.91, 0.93, 0.95, 0.98
Pavel Maslák, 0.156, 10.36, 1.804, 1.04, 0.99, 0.92, 0.91, 0.88, 0.89, 0.91, 0.92, 0.94
Zdenek Stromšík, 0.139, 10.32, 1.821, 1.02, 0.97, 0.91, 0.89, 0.88, 0.90, 0.91, 0.94, 0.94
Yukiya Okamura, , 10.67, 2.01, 1.08, 0.99, 0.95, 0.93, 0.93, 0.94, 0.93, 0.94, 0.97
Shuya Sasaki, , 10.65, 1.93, 1.09, 0.99, 0.95, 0.93, 0.93, 0.94, 0.94, 0.96, 0.99
Takuya Kawakami, , 10.65, 1.97, 1.08, 0.98, 0.94, 0.93, 0.92, 0.93, 0.95, 0.95, 1.00
Yu Takahashi, , 10.55, 1.98, 1.09, 0.98, 0.94, 0.92, 0.91, 0.92, 0.92, 0.93, 0.96
Yuki Koike, , 10.38, 1.94, 1.07, 0.96, 0.92, 0.90, 0.90, 0.91, 0.91, 0.93, 0.94
Yoshihide Kiryu, , 10.19, 1.92, 1.04, 0.95, 0.91, 0.89, 0.88, 0.88, 0.89, 0.91, 0.92
Keisuke Honma, , 10.86, 2.03, 1.10, 0.99, 0.95, 0.95, 0.95, 0.95, 0.96, 0.97, 1.01
Tomoya Baba, , 10.75, 1.96, 1.09, 0.99, 0.96, 0.95, 0.94, 0.94, 0.96, 0.97, 0.99
Kazuma Oseto, , 10.40, 1.93, 1.06, 0.96, 0.93, 0.91, 0.90, 0.91, 0.92, 0.93, 0.95
Yoshihide Kiryu, , 10.33, 1.97, 1.03, 0.95, 0.91, 0.89, 0.88, 0.90, 0.91, 0.92, 0.97
Masashi Eriguchi, , 10.70, 1.97, 1.09, 0.97, 0.93, 0.91, 0.92, 0.94, 0.95, 0.99, 1.03
Yuichi Kobayashi, , 10.55, 1.95, 1.09, 0.99, 0.94, 0.93, 0.91, 0.92, 0.92, 0.93, 0.97
Naoki Tsukahara, , 10.36, 1.91, 1.06, 0.96, 0.92, 0.91, 0.90, 0.90, 0.91, 0.93, 0.96
Shinji Takahira, , 10.58, 1.96, 1.08, 0.97, 0.94, 0.92, 0.92, 0.93, 0.93, 1.20, 0.73
Yoshiya Nishigaki, , 10.51, 1.90, 1.04, 0.95, 0.93, 0.93, 0.93, 0.94, 0.94, 0.97, 0.98
Masashi Eriguchi, , 10.49, 1.95, 1.05, 0.95, 0.92, 0.91, 0.92, 0.92, 0.94, 0.96, 0.97
Yuichi Kobayashi, , 10.48, 1.93, 1.08, 0.98, 0.93, 0.92, 0.92, 0.92, 0.92, 0.93, 0.95
Masaki Nashimoto, , 10.56, 1.98, 1.07, 0.97, 0.93, 0.92, 0.91, 0.92, 0.93, 0.95, 0.98
Shintaro Horie, , 10.56, 1.97, 1.08, 0.98, 0.94, 0.93, 0.92, 0.92, 0.92, 0.94, 0.96
Kazuma Oseto, , 10.40, 1.92, 1.04, 0.95, 0.93, 0.91, 0.91, 0.92, 0.92, 0.94, 0.96
Yoshihide Kiryu, , 10.26, 1.93, 1.04, 0.94, 0.91, 0.89, 0.88, 0.89, 0.91, 0.92, 0.95
Yusuke Ishitsuka, , 10.58, 1.97, 1.09, 0.99, 0.93, 0.93, 0.92, 0.92, 0.93, 0.94, 0.96
Kenji Fujimitsu, , 10.27, 1.97, 1.05, 0.95, 0.91, 0.90, 0.88, 0.89, 0.90, 0.90, 0.92
Kei Takase, , 10.26, 1.95, 1.05, 0.93, 0.91, 0.89, 0.89, 0.89, 0.90, 0.92, 0.93
Akihiko Nakamura, , 10.69, 1.96, 1.08, 0.98, 0.94, 0.93, 0.94, 0.94, 0.95, 0.97, 1.00
Takumi Otobe, , 10.57, 1.96, 1.08, 0.97, 0.92, 0.92, 0.92, 0.92, 0.94, 0.96, 0.98
Mitsuhiro Abiko, , 10.81, 1.99, 1.09, 0.99, 0.96, 0.95, 0.93, 0.95, 0.96, 0.98, 1.01
Yoshiya Nishigaki, , 10.59, 1.90, 1.06, 0.95, 0.95, 0.93, 0.93, 0.94, 0.95, 0.98, 1.00
Masafumi Naoki, , 10.40, 1.96, 1.08, 0.96, 0.93, 0.91, 0.89, 0.90, 0.91, 0.92, 0.94
